Field,ID,Type (Type),default,en-us,ja,ja-jp,zh-cn,zh-hans,zh-hant,zh-tw
Description,2,Text,,"This app is base on windows 10 voice-recognition speech libraries. as well as text that reads aloud or saves text to MP3/AAC formats. Supports customizable long text output audio files to be divided by character amount.
",音声認識ライブラリに基づいており、WINDOWS10 システムによってインストールされている音声ライブラリへのテキストが実装されているオーディオファイルだけでなく、テキストを読み上げたり、MP3/AAC 形式にテキストを保存します。 文字番号セグメントによるカスタマイズ可能な長いテキスト出力オーディオファイルをサポートしています。,"音声認識ライブラリに基づいており、WINDOWS10 システムによってインストールされている音声ライブラリへのテキストが実装されているオーディオファイルだけでなく、テキストを読み上げたり、MP3/AAC 形式にテキストを保存します。 文字番号セグメントによるカスタマイズ可能な長いテキスト出力オーディオファイルをサポートしています。
","通过调用Windows10系统安装的语音识别库和文本到语音的库实现基础的连续语音识别为文本, 以及朗读文本或者保存文本到MP3/AAC等格式的音频文件. 支持可自定的长文本按字符数量分段输出音频文件.","通过调用Windows10系统安装的语音识别库和文本到语音的库实现基础的语音输入文本, 以及朗读文本或者保存文本到MP3/AAC等格式的音频文件. 支持可自定的长文本按字符数量分段输出音频文件.
","通過調用Windows10系統安裝的語音識別庫和文本到語音的庫實現基礎的語音輸入文本, 以及朗讀文本或者保存文本到MP3/AAC等格式的音頻檔案. 支持可自定的長文本按字符數量分段輸出音頻檔案.
","通過調用Windows10系統安裝的語音識別庫和文本到語音的庫實現基礎的語音輸入文本, 以及朗讀文本或者保存文本到MP3/AAC等格式的音頻檔案. 支持可自定的長文本按字符數量分段輸出音頻檔案.
"
ReleaseNotes,3,Text,,"Speech recognition function is not stable, maybe automatically terminated. Just click the ""Listen"" button to start again.",音声認識機能は安定していないため、頻繁に自動的に終了します。 「聴く」ボタンをクリックするだけで、再度起動します。,"音声認識機能は安定していないため、頻繁に自動的に終了します。 「聴く」ボタンをクリックするだけで、再度起動します。
","语音识别功能尚不稳定, 时常会自动终止. 只需重新点击""聆听""按钮即可再次开始.","语音识别功能尚不稳定, 时常会自动终止. 只需重新点击""聆听""按钮即可再次开始.","語音識別功能尚不穩定, 時常會自動終止. 只需重新點擊""聆聽""按鈕即可再次開始.
","語音識別功能尚不穩定, 時常會自動終止. 只需重新點擊""聆聽""按鈕即可再次開始."
Title,4,Text,,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt
ShortTitle,5,Text,,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt,SpeechIt
SortTitle,6,Text,,,,,,,,
VoiceTitle,7,Text,,Speech Text,音声とテキスト,音声とテキスト,听说,听说,聽說,聽說
ShortDescription,8,Text,,Text to speech & voice to Text,テキストと音声は互いに変換する,テキストと音声は互いに変換する,文本和语音互相转化,文本和语音互相转化,文本和語音互相轉化,文本和語音互相轉化
DevStudio,9,Text,,,,,,,,
SupportContactInfo,10,URL or email address,,netcharm@163.com,netcharm@163.com,netcharm@163.com,netcharm@163.com,netcharm@163.com,netcharm@163.com,netcharm@163.com
PrivacyPolicyUrl,11,URL,,,,,,,,
CopyrightTrademarkInformation,12,Text,,netcharm,netcharm,netcharm,netcharm,netcharm,netcharm,netcharm
AdditionalLicenseTerms,13,Text,,,,,,,,
Website,14,URL,,,,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Dev Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867007/listingassets/1152921504742240261,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867008/listingassets/1152921504742240212,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867009/listingassets/1152921504742241892,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867010/listingassets/1152921504742239805,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867011/listingassets/1152921504742240213,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867012/listingassets/1152921504742240241,https://developer.microsoft.com/en-us/dashboard/apps/9MTKDD3L17Z7/submissions/1152921504627208270/listings/1152921504656867013/listingassets/1152921504742240041
DesktopScreenshot2,101,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot3,102,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot4,103,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot5,104,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot6,105,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot7,106,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Dev Center),,,,,,,,
DesktopScreenshotCaption1,150,Text,,,,,,,,
DesktopScreenshotCaption2,151,Text,,,,,,,,
DesktopScreenshotCaption3,152,Text,,,,,,,,
DesktopScreenshotCaption4,153,Text,,,,,,,,
DesktopScreenshotCaption5,154,Text,,,,,,,,
DesktopScreenshotCaption6,155,Text,,,,,,,,
DesktopScreenshotCaption7,156,Text,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Dev Center),,,,,,,,
MobileScreenshotCaption1,250,Text,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Dev Center),,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Dev Center),,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Dev Center),,,,,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Dev Center),,,,,,,,
StoreLogo300x300,602,Relative path (or URL to file in Dev Center),,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Dev Center),,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Dev Center),,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Dev Center),,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Dev Center),,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Dev Center),,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Dev Center),,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Dev Center),,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Dev Center),,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Dev Center),,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Dev Center),,,,,,,,
Feature1,700,Text,,Text to Speech,音声へのテキスト,,文本转为语音,,文本轉為語音,
Feature2,701,Text,,Using voice installed on your Windows 10,Windows 10 システムにインストールされている音声から発音ソースを選択する,,从Windows 10 系统安装的语音中选择发音源,,從Windows 10 系統安裝的語音中選擇發音源,
Feature3,702,Text,,Voice to Text,テキストとしての音声認識,,语音识别为文本,,語音識別為文本,
Feature4,703,Text,,Releative language packages installed your Windows 10,Windows 10 のシステムインストール言語パックに応じて,,取决于你的Windows 10 系统安装的语言包,,取決於你的Windows 10 系統安裝的語言包,
Feature5,704,Text,,Save Text Speech to mp3/aac…,MP3/AAC 形式のオーディオファイルへのテキスト,,文本转为MP3/AAC格式的音频文件,,文本轉為MP3/AAC格式的音頻檔案,
Feature6,705,Text,,Optional for split text by given amount,指定された長さに応じて、長いテキスト出力オーディオファイルのセグメンテーションをサポート,,支持按照给定的段长度切分长文本输出音频文件,,支持按照給定的段長度切分長文本輸出音頻檔案,
Feature7,706,Text,,,,,,,,
Feature8,707,Text,,,,,,,,
Feature9,708,Text,,,,,,,,
Feature10,709,Text,,,,,,,,
Feature11,710,Text,,,,,,,,
Feature12,711,Text,,,,,,,,
Feature13,712,Text,,,,,,,,
Feature14,713,Text,,,,,,,,
Feature15,714,Text,,,,,,,,
Feature16,715,Text,,,,,,,,
Feature17,716,Text,,,,,,,,
Feature18,717,Text,,,,,,,,
Feature19,718,Text,,,,,,,,
Feature20,719,Text,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,
